asset,pctl,residualize,sign,alpha,delta,half_life_days,fit_r2,n_shocks_total,n_shocks_used,horizon,cooldown,agg,winsor,two_sided,include_t0,use_flags,start,end
SPY,0.85,none,all,0.010097714526886618,1.0528049519557952e-15,658381383248897.2,-1.7985612998927536e-14,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
SPY,0.85,ar+rates,all,0.00663645899987621,5.212265007921375e-15,132983871600260.19,-5.6621374255882984e-14,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
SPY,0.9,none,all,0.010097714526886618,1.0528049519557952e-15,658381383248897.2,-1.7985612998927536e-14,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
SPY,0.9,ar+rates,all,0.00663645899987621,5.212265007921375e-15,132983871600260.19,-5.6621374255882984e-14,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
SPY,0.95,none,all,0.010097714526886618,1.0528049519557952e-15,658381383248897.2,-1.7985612998927536e-14,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
SPY,0.95,ar+rates,all,0.00663645899987621,5.212265007921375e-15,132983871600260.19,-5.6621374255882984e-14,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
MSFT,0.85,none,all,0.019963986297802265,7.451015005992182e-13,930272157555.0569,-1.3396173059732064e-11,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
MSFT,0.85,ar+rates,all,0.01119325344841477,1.0835571598707118e-12,639695999648.6484,-3.89910326248355e-13,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
MSFT,0.9,none,all,0.019963986297802265,7.451015005992182e-13,930272157555.0569,-1.3396173059732064e-11,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
MSFT,0.9,ar+rates,all,0.01119325344841477,1.0835571598707118e-12,639695999648.6484,-3.89910326248355e-13,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
MSFT,0.95,none,all,0.019963986297802265,7.451015005992182e-13,930272157555.0569,-1.3396173059732064e-11,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
MSFT,0.95,ar+rates,all,0.01119325344841477,1.0835571598707118e-12,639695999648.6484,-3.89910326248355e-13,24,24,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
ETH,0.85,none,all,-0.009265588460757113,0.616999021134214,1.1234169857931866,-1.398291875250901,261,58,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
ETH,0.85,ar+rates,all,-0.01656625672888759,0.41361657373961125,1.6758206139880414,-0.564665171442116,261,58,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
ETH,0.9,none,all,0.017355447122299864,1.0573263346773938e-15,655565985473571.9,-1.0658141036401503e-14,182,51,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
ETH,0.9,ar+rates,all,-0.01180912341565257,0.18249848456298207,3.7980982813078277,0.12395649377577678,182,51,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
ETH,0.95,none,all,0.02781606344151885,7.507471026080542e-16,923276531007565.8,-1.1324274851176597e-14,105,40,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
ETH,0.95,ar+rates,all,0.010139853419754334,8.414711986546068e-17,8237325076225893.0,-6.661338147750939e-16,105,40,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
OIL,0.85,none,all,0.011823766655668144,1.4532521965525072e-12,476962761318.55914,-2.4443114199357296e-11,75,67,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
OIL,0.85,ar+rates,all,0.012082735998068635,2.0779749604262658e-12,333568591422.17786,-3.019873240361903e-11,75,67,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
OIL,0.9,none,all,0.011823766655668144,1.4532521965525072e-12,476962761318.55914,-2.4443114199357296e-11,75,67,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
OIL,0.9,ar+rates,all,0.012082735998068635,2.0779749604262658e-12,333568591422.17786,-3.019873240361903e-11,75,67,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
OIL,0.95,none,all,0.011823766655668144,1.4532521965525072e-12,476962761318.55914,-2.4443114199357296e-11,75,67,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
OIL,0.95,ar+rates,all,0.012082735998068635,2.0779749604262658e-12,333568591422.17786,-3.019873240361903e-11,75,67,20,20,winsor_mean,0.01,True,True,False,2018-01-02,2025-07-29
